Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt,Rndrng_Prvdr_Gndr,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Drug_Ind,Place_Of_Srvc,Cluster
126.0,69.323541667,54.059791667,54.743125,0,1,0,1,0
136.23,41.78359999999999,41.7836,43.07,1,1,0,0,0
316.0,103.02642857,72.272142857,80.629285714,0,1,0,0,0
724.0,198.37244898,145.25857143,138.68204082,1,1,0,0,1
53.666666667000015,16.880833332999998,11.247500000000002,11.093333333000004,0,1,0,0,0
471.0,116.30575758,87.581515152,80.29,1,1,0,1,0
1776.3220339,193.88259887,153.34711864,129.72610169,0,1,0,0,1
101.0,32.60363636400001,23.711818182000002,24.289090908999995,1,1,0,0,0
48.0,28.263076923,28.263076923,16.619999999999997,0,1,0,0,0
83.0,29.92,29.92,16.619999999999997,0,1,0,0,0
179.0,24.947213114999997,19.040983607,18.63229508199999,0,1,0,1,0
214.0,69.42137931,55.51137931,55.89,1,1,0,1,0
404.54545455,166.58,128.71727273,128.93363636,1,1,0,0,1
43.0,8.376666666700004,6.6611111110999985,6.725555555599996,1,1,0,1,0
439.35820896,209.3741791,164.26679104,152.75761194,1,1,0,1,1
36.06,7.318489932900022,5.614765100699998,5.218624161099996,1,1,0,0,0
180.0,32.976909492000004,24.291611478999997,19.819977925000003,1,1,0,0,0
87.25,68.54,68.54,68.54,1,1,1,0,0
228.0,98.432833333,78.707166667,80.644666667,0,1,0,1,0
1040.4768293,160.23878049,125.7495122,127.17804878,1,1,0,0,1
38.0,7.667878787900008,5.368787878800006,5.501515151500001,1,1,0,1,0
168.14666667,86.3016,66.102533333,69.266,0,1,0,0,0
156.00000000000003,78.19,55.767222222,54.951111111,0,1,0,0,0
400.0,132.35904762,85.684285714,79.292857143,1,1,0,0,0
48.0,16.946666667000002,13.524444443999997,14.73133333300001,1,1,0,1,0
29.684210526000015,8.3515789474,8.3515789474,8.292368421099994,0,1,0,0,0
269.23,106.2925,84.7525,80.31,1,1,0,1,0
138.62264151,65.664591195,45.446603774,50.588867925,1,1,0,0,0
149.99999999999997,120.90166667,120.90166667,131.02333333,0,1,1,0,0
25.0,8.905454545499992,8.905454545499992,8.840000000000003,1,1,0,0,0
418.42,172.0002,125.4744,121.0412,1,1,0,0,1
75.0,40.395652174,27.516521738999998,25.722608696,1,1,0,0,0
91.05309734500003,13.074070796,10.473982301000007,9.7699115044,1,1,0,1,0
550.0,253.63961538,185.83192308,179.99480769,1,1,0,0,1
676.49315068,84.07369863,64.36369863,61.604109589,1,1,0,1,0
131.34246575,41.732191781,27.938082191999996,27.038630137,0,1,0,0,0
145.99999999999997,47.466206897,30.276551724,30.47862069,0,1,0,0,0
3.3614457831000095,2.944879518099995,2.944879518099995,2.9399999999999977,1,1,0,0,0
187.13043478,54.907826087,40.94326087,35.755434783,0,1,0,1,0
44.72477064200001,29.876697248,29.876697248,29.850550459000004,1,1,1,0,0
35.0,11.087704918,7.164426229499995,7.225409836099999,1,1,1,0,0
797.0,78.534666667,61.933333333,64.368666667,1,1,0,0,0
55.0,26.345755396,18.841366906000005,19.857841727000007,1,1,0,0,0
45.0,9.405384615399996,7.4969230769000035,7.320000000000007,1,1,0,1,0
248.33474576,98.368305085,74.534067797,68.500338983,0,1,0,0,0
140.0,85.97,63.633333333,67.250740741,1,1,0,0,0
300.0,224.26727273,179.44454545,146.23727273,0,1,0,0,1
250.0,136.94720588,106.4965,115.61447059,1,1,0,0,0
101.26784688999999,83.544162679,67.721052632,61.391818182,0,1,0,1,0
139.0,90.87,69.893076923,69.437692308,1,1,0,0,0
118.99999999999997,56.445463415000006,34.038341463,35.101463415,0,1,0,1,0
70.0,14.311111111000002,9.562777777799994,9.571111111099995,0,1,0,0,0
140.0,116.73894737,93.138947368,93.06,0,1,0,0,0
584.0,215.03401709,172.15401709,171.74,1,1,0,1,1
120.90909090999997,55.718272727,39.507090909,40.024454545,0,1,0,1,0
162.0,95.857173913,68.396956522,67.833695652,0,1,0,0,0
214.28,30.447647059000005,30.447647059000005,30.32,0,1,0,0,0
182.0,88.665625,63.398541667,69.053333333,0,1,0,0,0
77.05633802799997,8.317323943700003,6.553521126800007,6.408450704200007,1,1,0,1,0
177.0,70.367636364,55.874363636,55.976,1,1,0,1,0
209.0,67.811130435,56.297652174,58.25573913,1,1,0,1,0
200.0,32.512380952,25.992380952000005,26.588730159,1,1,0,0,0
532.0,147.52081633,117.89571429,136.07244898,1,1,0,0,1
38.41237113400001,15.948350515000001,10.454845360999997,11.612061855999997,1,1,0,0,0
75.0,34.839661017,24.930847458000002,26.772711864,0,1,0,0,0
570.0,129.28666667,103.63333333,96.935,1,1,0,1,1
289.0,101.89,81.18,79.22,0,1,0,1,0
27.0,9.740606060600001,7.775151515199994,6.451818181799993,1,1,0,0,0
216.66666667,70.291481481,52.718888889,59.786666667,0,1,0,0,0
582.66336634,87.522376238,66.196237624,64.173861386,1,1,0,1,0
243.0,128.91272727,94.152727273,97.144545455,1,1,0,1,0
415.47474747,206.60579125,161.83518519,155.98427609,1,1,0,0,1
80.0,28.617407407,22.842222222000004,23.984444444000005,1,1,0,0,0
650.0,222.38827957,177.52591398,179.00978495,1,1,0,1,1
240.0,132.053125,132.053125,130.803125,1,1,1,0,1
263.0,125.08434783,99.834347826,86.48,0,1,0,0,0
12.0,5.086315789500006,5.086315789500006,5.060000000000002,1,1,0,0,0
28.0,8.682243589699993,6.549358974399993,6.687692307700004,1,1,0,1,0
152.37818182000004,44.880909091,33.616060606,35.870909091,0,1,0,0,0
98.0,87.625844156,68.922857143,71.166883117,1,1,0,0,0
1165.8184615,126.82307692,101.23596154,100.24,1,1,0,1,1
165.0,38.2175,30.1875,29.845416666999995,0,1,0,0,0
4.0,2.961428571400006,2.961428571400006,2.9399999999999977,1,1,0,0,0
355.0,57.721168831,45.762727273,47.085844156,0,1,0,1,0
233.62068966,63.833103448,51.11762931,49.921810345,1,1,0,1,0
375.0,121.57052632,93.444210526,92.865789474,0,1,0,1,0
301.0,86.575448276,68.192275862,67.146482759,0,1,0,1,0
241.0,120.94,96.92,100.66,1,1,0,0,0
55.92427652700002,31.857459806999998,22.049999999999997,22.704565916,1,1,0,0,0
35.0,11.272000000000006,6.596000000000004,7.375333333300006,0,1,0,0,0
644.0,182.36910526,125.2105,140.50218421,1,1,0,0,1
1471.0,174.01326531,143.69661224,145.20004082,1,1,0,1,1
350.0,115.74298113,92.225471698,80.480339623,1,1,0,0,0
15.083333332999985,2.221333333299995,2.221333333299995,2.2099999999999937,0,1,0,0,0
