comment_text,aspect,sentiment
Wow. Map looks massive,Gameplay,1.0
HOLY SHIT IT WAS SUPPOSED YO BE TOMORROW I JUTS GOT THE NOTIFICATION GUYS IS THIS REAL 😭😭😭😭,Trailer & Hype,1.0
brooooo lucia omggggg,Plot and Character,1.0
Holy shit.,Trailer & Hype,1.0
ITS AMAZING,Trailer & Hype,1.0
Yo wtf,Trailer & Hype,1.0
HOLY SHIT IT LOOKS SO GOOD                                                                                    edit: yall calm down im talking about the graphics😭Some of you need to stop trying to ruin the hype for everyone,Visual Graphic,1.0
2025 are you serious!,Rilis Game,-1.0
2025!,Rilis Game,0.0
LMAO they released that shit as soon as they saw it was leaked,Rilis Game,-1.0
Was I supposed to see that?!?,Trailer & Hype,0.0
HOLY FUCK. We actually made it.,Trailer & Hype,1.0
We back boys,Trailer & Hype,1.0
I was here!!!,Trailer & Hype,1.0
Lol I thought the notification to watch it was a glitch but lo and behold... looks awesome! Wonder if we'll be able to play as an alligator like we could with animals in GTA V haha,Trailer & Hype,1.0
THAT WAS UNEXPECTED,Trailer & Hype,1.0
THAT WAS CRAZY,Trailer & Hype,1.0
I was here,Trailer & Hype,1.0
2025 what a tease,Rilis Game,-1.0
"They actually said fuck it, it leaked early so might as well upload it 😭",Rilis Game,-1.0
It was real all along...,Trailer & Hype,1.0
Wow those leaks man,Trailer & Hype,0.0
Who fucked up,Rilis Game,-1.0
thought i was tripping bruh,Trailer & Hype,1.0
Leaving the comment to let my grandkids know I was here,Trailer & Hype,1.0
Nice,Trailer & Hype,1.0
They said fuck it and released the trailer,Rilis Game,1.0
LOOKS BETTER THAN rdr2 somehow wow,Visual Graphic,1.0
Truly the best moment of gaming history,Nostalgia,1.0
ALREADY???,Trailer & Hype,1.0
Ahhhhhhhhhhhh! #trailerdayog,Trailer & Hype,1.0
LMAO THEY SAID FUCK IT HERE YOU GO ASSHOLES,Rilis Game,1.0
HOLY FUCK I WAS HERE #trailerdayog,Trailer & Hype,1.0
