comment_text,aspect,sentiment
WE ARE SO BACK BOYSSSS,Trailer & Hype,Positive
"
*
Let's gooo 🙌 we are back again !! 🔥🔥 it looks soo good bro 😍 😩",Trailer & Hype,Positive
This game is going to be an all timer. Holy shit.,Trailer & Hype,Positive
This game is going to be an all timer. Holy shit.,Rilis Game,Positive
ayooo outta nowhere,Trailer & Hype,Positive
THE GRAPHICS LOOK UNREAL,Visual Graphic,Positive
Insane,Trailer & Hype,Positive
i was fucking here.,Trailer & Hype,Positive
OMG ITS HAPPENING,Trailer & Hype,Positive
LETSS GOOOOOOOOOOOOOOOO,Trailer & Hype,Positive
Good doesn't even begin to cut it. This game looks fucking legendary!,Trailer & Hype,Positive
This sounds very different for a GTA game and I’m all for it,Nostalgia,Positive
The sun got content to analyse for the next year,None,Neutral
I've never clicked on a notification so fast in my life 😂,Trailer & Hype,Positive
I WAS HERE TOO,Trailer & Hype,Positive
Next gen booties,Plot and Character,Positive
Don't have much to say other than HOLY SHIT,Trailer & Hype,Positive
That sounds like Stephen Root!,Plot and Character,Neutral
Stretching across the state of Leonida. Does that mean multiple cities?,Gameplay,Neutral
HELL YEA,Trailer & Hype,Positive
I was here babyy,Trailer & Hype,Positive
Yaaaayyyyyyyy,Trailer & Hype,Positive
It looks insane. Can't believe we got it today,Trailer & Hype,Positive
This looks awesome,Trailer & Hype,Positive
I WAS HEREEEE,Trailer & Hype,Positive
Let’s fucking goooo,Trailer & Hype,Positive
Awesome!,Trailer & Hype,Positive
I was here.,Trailer & Hype,Positive
bro the backshots are gonna be INSANE,Gameplay,Positive
BABE WAKE THE FUCK UP 🗣️🗣️‼️‼️,Trailer & Hype,Positive
"Rockstar is cooking. I don't care about the delay, this looks insane.",Rilis Game,Positive
"Rockstar is cooking. I don't care about the delay, this looks insane.",Trailer & Hype,Positive
Looks absolutely gorgeous. Cant wait to ~~waste~~ enjoy hundreds of hours playing,Visual Graphic,Positive
Looks absolutely gorgeous. Cant wait to ~~waste~~ enjoy hundreds of hours playing,Trailer & Hype,Positive
Am I Crazy or does that look and sound just like Bobby Moynihan at 1:30?,Plot and Character,Neutral
OH MY GOD!!!!!!!!!!!!!!!!!!!!,Trailer & Hype,Positive
After years of obscurity we are finally relevant again let's goooooo,Trailer & Hype,Positive
WERW SO BACK. K K KXK J,Trailer & Hype,Positive
Damn does anyone knows how to play this game with no hands cause those 2 are HOT.,Plot and Character,Positive
"I was here, holy shit there's so much to dig into.",Trailer & Hype,Positive
"I was here, holy shit there's so much to dig into.",Gameplay,Positive
YESS,Trailer & Hype,Positive
Damn this is insane level of detail,Visual Graphic,Positive
I would never thought that they drop Trailer 2 now Holy shit,Rilis Game,Positive
I would never thought that they drop Trailer 2 now Holy shit,Trailer & Hype,Positive
I WAS HERE BOYS,Trailer & Hype,Positive
WE ARE SO BACK,Trailer & Hype,Positive
Life makes sense again,Trailer & Hype,Positive
This looks amazing what the hell,Visual Graphic,Positive
This looks amazing what the hell,Trailer & Hype,Positive
MAN LUCIA IS FUCKING HOT.,Plot and Character,Positive
"Ok Rockstar, I forgive you for delaying the game",Rilis Game,Positive
"😭😭😭
I knew it would look great... But this is fuckin phenomenal.",Trailer & Hype,Positive
"WE ARE SO BACK

LOOOOOOOOOOOOOVE IS A LONG LONG ROAD 

YEAH LOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVE",Trailer & Hype,Positive
I was here :),Trailer & Hype,Positive
"Rockstar ""here give them this,this should do until 2026"" 
Well it makes the delay a little less painful",Rilis Game,Positive
it exists!,Trailer & Hype,Positive
Never seen that much cake in a game,Trailer & Hype,Neutral
Let the analysis begin!,Trailer & Hype,Neutral
LETS FUCKING GOOOO,Trailer & Hype,Positive
Mad,Trailer & Hype,Negative
dang they did it,Trailer & Hype,Positive
EVERYONE GET IN HERE,Trailer & Hype,Positive
no more insanity no more 27,Plot and Character,Positive
Getting Troy Baker vibes,Plot and Character,Positive
"Do you think the marketing will actually start to pick up now that the delay got announced, or do you think this was dropped to build hype back up and make everyone put their pitchforks down?",Rilis Game,Neutral
We are so back,Trailer & Hype,Positive
Bro is that Stephen root and Matty Matheson in the trailer?,Plot and Character,Neutral
